cabin	n.小屋,船舱
cabinet	n.(有抽屉或格子的)橱柜,<美>内阁;adj.<美>内阁的,小巧的
cable	n.电缆,海底电报,缆,索;v.打(海底)电报
cafeteria	n.自助餐厅
calcium	n.[化]钙(元素符号Ca)
calorie	n.卡路里
cancel	vt.取消,删去
cancer	n.癌,毒瘤
candidate	n.候选人,投考者
cane	n.细长的茎,藤条;vt.以杖击,以藤编制
cannon	n.大炮,加农炮;v.炮轰
canon	n.教会法教规,教规,(基督教的)正典圣经(简称正经),一个作家的真作;日本佳能公司
canvas	v.彻底讨论探究;n.帆布
capable	adj.有能力的,能干的,有可能的,可以...的
capacity	n.容量,生产量,容量,智能,才能,能力,接受力,地位
cape	n.海角,岬
capsule	n.(植物)蒴果,胶囊,瓶帽,太空舱
caption	n.标题，说明,字幕;vt.加上标题,加上说明
captive	n.俘虏,被美色或爱情迷住的人;adj.被俘的,被迷住的
cardinal	n.枢机主教,红衣主教;adj.主要的,最重要的
carve	v.雕刻,切开
cast	n.投掷,铸件,脱落物,一瞥,演员表;v.投,抛,投射,浇铸,计算,派(角色)
casual	adj.偶然的,不经意的,临时的
casualty	n.伤亡
catastrophe	n.大灾难,大祸
cater	vi.备办食物,满足(需要),投合
cathedral	n.大教堂
catholic	n.天主教徒;adj.天主教的
caution	n.小心,谨慎,警告;vt.警告
cautious	adj.谨慎的,小心的
cavity	n.洞,空穴,[解剖]腔
cellar	n.地窖,地下室,酒窖,藏酒量
cemetery	n.墓地,公墓
census	n.人口普查
ceramic	adj.陶器的;n.陶瓷制品
cereal	n.谷类食品,谷类
certainty	n.确定,确实的事情
certify	v.证明,保证
challenge	n.挑战;vt.向...挑战
champagne	n.香槟酒,香槟色
champion	n.冠军,拥护者,战士;vt.拥护,支持
chant	n.圣歌
chapel	n.小礼拜堂,礼拜
character	n.(事物的)特性,性质,特征(的总和),(人的)品质,字符,性格,特征,人物;vt.写,刻,印,使具有特征
characteristic	adj.特有的,表示特性的,典型的;n.特性,特征
characterize	vt.表现...的特色,刻画的...性格
charge	n.负荷,电荷,费用,主管,掌管,充电,充气,装料;v.装满,控诉,责令,告诫,指示,加罪于,冲锋,收费
chase	n.追赶,追击;vt.追赶,追逐,雕镂
cherish	vt.珍爱,怀抱(希望等)
chief	n.首领,领袖,酋长,长官,主要部分,最有价值的部分;adj.主要的,首要的,首席的,主任的
chip	n.碎片,筹码;v.削成碎片,碎裂;芯片
cholesterol	n.胆固醇
chord	n.弦,和音,情绪;n.[解]腱
chorus	n.合唱,合唱队,齐声
chronic	adj.慢性的,延续很长的
chunk	n.大块,矮胖的人或物
circulation	n.循环,流通,发行额
circumstance	n.环境,详情,境况
circus	n.马戏团,杂技团,马戏场,杂技场
cite	vt.引用,引证,提名表扬
claim	n.(根据权利提出)要求,要求权,主张,要求而得到的东西;vt.(根据权利)要求,认领,声称,主张,需要
clamp	n.夹子,夹具,夹钳;vt.夹住,夹紧
clan	n.部落,氏族,宗族,党派
clarity	n.清楚,透明
clash	n.冲突,撞击声,抵触;v.(使)发出撞击声,猛撞,冲突
clasp	n.扣子,钩,紧握,抱住;v.扣紧,紧握,搂抱,密切合作
classic	n.杰作,名著;adj.第一流的
classical	adj.古典的,正统派的,古典文学的
classification	n.分类,分级
clearance	n.清除
clerk	n.职员,办事员,<美>店员
client	n.[计]顾客,客户,委托人
cliff	n.悬崖,绝壁
climate	n.气候,风土,思潮
climax	n.高潮,顶点
cling	vi.粘紧,附着,紧贴,坚持(意见),墨守(习惯)
clip	n.夹子,回形针,子弹夹;vt.夹住,剪短,修剪
clockwise	adj.顺时针方向的;adv.顺时针方向地
clone	n.无性系,无性繁殖,克隆;v.无性繁殖,复制
closet	n.壁橱,储藏室,厕所;adj.关起门来的;vt.关入私室密谈
clue	n.线索
cluster	n.串,丛;vi.丛生,成群
clutch	v.抓住,攫住;n.离合器
coalition	n.合并,接合,联合
coarse	adj.粗糙的,粗鄙的
cocaine	n.古柯碱,可卡因
cocktail	n.鸡尾酒,(第一道用杯盛的)开味食品;adj.鸡尾酒的
cognitive	adj.认知的,认识的,有感知的
coherent	adj.粘在一起的,一致的,连贯的
coincide	vi.一致,符合
coincidence	n.一致,相合,同时发生或同时存在(尤指偶然)的事
collaboration	n.协作,通敌
collapse	n.倒塌,崩溃,失败,虚脱;vi.倒塌,崩溃,瓦解,失败,病倒
colleague	n.同事,同僚
collide	vi.碰撞,抵触
collision	n.碰撞,冲突
colonial	adj.殖民的,殖民地的n.殖民地居民
combat	n.战斗,格斗;v.战斗,搏斗,抗击
combination	n.结合,联合,合并,化合,化合物
combine	v.(使)联合,(使)结合;n.联合企业,联合收割机;n.联合收割机
comet	n.彗星
comic	n.滑稽演员;adj.滑稽的,喜剧的
command	n.命令,掌握,司令部;v.命令,指挥,克制,支配,博得,俯临
commemorate	vt.纪念
commence	v.开始,着手
commend	vt.称赞,表扬,推荐,委托,吸引
commentary	n.注释,解说词
commercial	adj.商业的,贸易的
commission	n.委任,委托,代办(权),代理(权),犯(罪),佣金;vt.委任,任命,委托,委托制作,使服役
commit	vt.犯(错误),干(坏事),把...交托给,提交,答应负责
commitment	n.委托事项,许诺,承担义务
committee	n.委员会
commodity	n.日用品
commonplace	n.平凡的事,平常话;adj.平凡的
commonwealth	n.国民整体,共和国,联邦
communicate	v.沟通,通信,(房间、道路、花园等)相通,传达,感染
communication	n.传达,信息,交通,通讯
community	n.公社,团体,社会,(政治)共同体,共有,一致,共同体,(生物)群落
commute	v.交换,抵偿,减刑,<电工>整流
compact	adj.紧凑的,紧密的,简洁的;n.契约,合同,小粉盒
companion	n.同伴,共事者
comparable	adj.可比较的,比得上的
compare	v.比较,相比,比喻n.比较
comparison	n.比较,对照,比喻,比较关系
compartment	n.间隔间,车厢
compatible	adj.谐调的,一致的,兼容的
compel	vt.强迫,迫使
compensate	v.偿还,补偿,付报酬
compete	vi.比赛,竞争
competence	n.能力
competitive	adj.竞争的
compile	vt.编译,编辑,汇编
complain	v.抱怨,悲叹,控诉
complaint	n.诉苦,抱怨,牢骚,委屈,疾病
complement	n.补足物,[文法]补语,[数]余角;vt.补助,补足
complex	adj.复杂的,合成的,综合的;n.联合体
complexion	n.面色,肤色,情况,局面
complicated	adj.复杂的,难解的
complication	n.复杂化,(使复杂的)因素;n.[医]并发症
compliment	n.称赞,恭维,致意,问候,道贺;vt.称赞,褒扬,恭维
comply	vi.顺从,答应,遵守
component	n.成分;adj.组成的,构成的
compose	v.组成,写作,排字,(使)安定,调解
composite	adj.合成的,复合的;n.合成物
compound	n.混合物,[化]化合物;adj.复合的;v.混合,配合
comprehension	n.理解,包含
comprehensive	adj.全面的,广泛的,能充分理解的,包容的
compromise	n.妥协,折衷;v.妥协,折衷,危及...的安全
compulsory	adj.必需做的,必修的,被强迫的,被强制的,义务的
compute	v.计算,估计,用计算机计算(或确定)
concede	vt.勉强,承认,退让;vi.让步
conceive	vt.构思,以为,持有;vi.怀孕,考虑,设想
concentrate	v.集中,浓缩
concentration	n.集中,集合,专心,浓缩,浓度
concept	n.观念,概念
conception	n.观念,概念
concern	vt.涉及,关系到;n.(利害)关系,关心,关注,关注,所关心的是
concise	adj.简明的,简练的
conclude	v.结束,终止,决定,作出结论;vt.推断,断定,缔结,议定
condemn	vt.判刑,处刑,声讨,谴责
condense	v.(使)浓缩,精简
conduct	n.行为,操行;v.引导,管理,为人,传导
confer	vt.授予(称号、学位等),赠与,把...赠与,协议;v.协商,交换意见
conference	n.会议,讨论会,协商会
confidence	n.信心
confident	adj.自信的,确信的
confidential	adj.秘密的,机密的
configuration	n.构造,结构,配置,外形
confine	vt.限制,禁闭;n.界限,边界
confirm	vt.确定,批准,使巩固,使有效;v.确认,(基督教中)给...行按手礼
conflict	n.斗争,冲突;vi.抵触,冲突
conform	vt.使一致,使遵守,使顺从;vi.符合,相似,适应环境;adj.一致的,顺从的
confront	vt.使面临,对抗
confusion	n.混乱,混淆
congress	n.(代表)大会,[C～](美国等国的)国会,议会
conscientious	adj.尽责的
conscious	adj.有意识的,有知觉的,故意的,羞怯的
consecutive	adj.连续的,联贯的
consensus	n.一致同意,多数人的意见,舆论
consent	vi.同意,赞成,答应;n.同意,赞成,允诺
consequence	n.结果,[逻]推理,推论,因果关系,重要的地位
consequent	adj.作为结果的,随之发生的
consequently	adv.从而,因此
conservation	n.保存,保持,守恒
conservative	adj.保守的,守旧的;n.保守派
conserve	vt.保存,保藏
considerable	adj.相当大(或多)的,值得考虑的,相当可观的
considerate	adj.考虑周到的
consist	vi.由...组成,在于,一致
consistent	adj.一致的,调和的,坚固的,[数、统]相容的
console	vt.安慰,藉慰;n.[计]控制台
consolidate	v.巩固
conspicuous	adj.显著的
constant	n.[数、物]常数,恒量;adj.不变的,持续的,坚决的
constituent	n.委托人,要素;adj.有选举权的；有宪法制定［修改］权的
constitute	vt.制定(法律),建立(政府),组成,任命
constitution	n.宪法,构造,体质,体格,国体,章程,惯例
constrain	vt.强迫,抑制,拘束
construct	vt.建造,构造,创立
consult	v.商量,商议,请教,参考,考虑
consultant	n.顾问,商议者,咨询者
consume	vt.消耗,消费,消灭,大吃大喝,吸引;vi.消灭,毁灭
consumer	n.消费者
consumption	n.消费,消费量,肺病
contact	n.接触,联系;vt.接触,联系
contaminate	v.污染
contemplate	v.凝视,沉思,预期,企图
contempt	n.轻视,轻蔑,耻辱,不尊敬,[律]藐视法庭(或国会)
contend	v.斗争,竞争,主张
contention	n.争夺,争论,争辩,论点
contest	n.论争,竞赛;v.,争论,争辩,竞赛,争夺
continual	adj.连续的,频繁的,持续不断的
continuity	n.连续性,连贯性
contract	n.合同,契约,婚约;v.使缩短,感染,订约
contradict	vt.同...矛盾,同...抵触
contradiction	n.反驳,矛盾
contrast	vt.使与...对比,使与...对照;vi.和...形成对照;n.对比,对照,(对照中的)差异
contribute	v.捐助,捐献,贡献,投稿
contribution	n.捐献,贡献,投稿
contrive	v.发明,设计,图谋
controversial	adj.争论的,争议的
controversy	n.论争,辩论,论战
convene	v.召集,集合
convenience	n.便利,方便,有益,有用的,方便的用具、机械、安排等
convention	n.大会,协定,习俗,惯例
conventional	adj.惯例的,常规的,习俗的,传统的
converge	v.聚合,集中于一点;vt.会聚
conversion	n.变换,转化
convert	n.皈依者;vt.使转变,转换...,使...改变信仰
convey	vt.搬运,传达,转让
convict	vt.证明...有罪,宣告...有罪;n.罪犯
convince	vt.使确信,使信服
cooperative	adj.合作的,协力的
cope	vi.(善于)应付,(善于)处理
cord	n.绳索,束缚
cordial	n.兴奋剂,兴奋性饮料;adj.热忱的,诚恳的,兴奋的
cork	n.软木塞,软木,(用塞子)塞住
corporate	adj.社团的,法人的,共同的,全体的
corps	n.军团,兵队,团,兵种,技术兵种,特殊兵种,(德国大学的)学生联合会
corpse	n.尸体
correlate	vt.使相互关联;vi.和...相关
correspondence	n.相应,通信,信件
corresponding	adj.相应的,通讯的
corrode	v.使腐蚀,侵蚀
corrupt	adj.腐败的,贪污的,被破坏的,混浊的,(语法)误用的;vt.使腐烂,腐蚀,使恶化;vi.腐烂,堕落
costume	n.装束,服装
council	n.政务会,理事会,委员会,参议会,讨论会议,顾问班子,立法班子
counsel	n.讨论,商议,辩护律师;vt.劝告,忠告
counter	n.计算器,计数器,计算者,柜台,筹码;adv.prep.相反地
counterpart	n.副本,极相似的人或物,配对物
coupon	n.息票,商家的优待券
court	n.法院,庭院,朝廷,球场,奉承,求爱;vt.向...献殷勤,追求,博得(喝彩),招致(失败危险等);vi.求爱
courtesy	n.谦恭,允许,礼貌
coverage	n.覆盖
coward	n.懦弱的人,胆小的人
cozy	adj.舒适的,安逸的,惬意的
cradle	n.摇篮,发源地,支船架;vt.将...放在摇篮内
crash	n.碰撞,坠落,坠毁,撞击声,爆裂声;v.碰撞,坠落,坠毁,(指商业公司,政府等)破产,垮台
creation	n.创造,创作物
credible	adj.可信的,可靠的
credit	n.信任,信用,声望,荣誉,[财务]贷方,银行存款;vt.相信,信任,把...归给
crew	n.全体人员,(工作)队;vbl.crow的过去式
crime	n.犯罪,犯罪行为,罪行,罪恶
criminal	n.罪犯,犯罪者;adj.犯罪的,犯法的,罪恶的
cripple	n.跛子;v.削弱
crisis	n.疾病的转折点(或转好或恶化),决定性时刻,危机,危险期,历史上的紧要关头,[医]危象,转换期
crisp	adj.脆的,易碎的
criterion	n.(批评判断的)标准,准据,规范
critic	n.批评家,评论家,吹毛求疵者
critical	adj.评论的,鉴定的,批评的,危急的,临界的
criticism	n.批评,批判
criticize	v.批评,责备
crowd	n.人群,群众,一堆(东西),一伙;v.群集,拥挤,挤满
crucial	adj.至关紧要的
crumble	v.弄碎,粉碎,崩溃;n.面包屑
crush	vt.压碎,碾碎,压服,压垮,粉碎,(使)变形
cucumber	n.[植]黄瓜
culminate	v.达到顶点
culture	n.文化,文明
cumulative	adj.累积的
curb	n.路边
current	adj.当前的,通用的,流通的,现在的,草写的,最近的;n.涌流,趋势,电流,水流,气流
curse	n.诅咒,咒语,祸根,祸因;vt.诅咒,咒骂,降祸,使受罪
customary	adj.习惯的,惯例的
cute	adj.可爱的,聪明的,伶俐的,装腔作势的
cycle	n.周期,循环,自行车,一段时间,整套,(电学)周波;vi.循环,轮转,骑自行车;vt.使循环,使轮转
cylinder	n.圆筒,圆柱体,汽缸,柱面
cynical	adj.愤世嫉俗的

